company,plant_cost_us_billions,plant_location,plant_name,process_technology,production_capacity,started_production,technology_products,wafer_size
Micron TechnologyMicron,,"Taiwan , Taichung",Micron Memory Taiwan,,,"?, 2018","DRAM, BEOL",300
Micron TechnologyMicron,,"Taiwan , Taichung",A3,,,Under construction,DRAM,300
Intel,,"USA , OR, Hillsboro",D1B,10 nanometer10 / 14 nanometer14 / 22,,1996,MicroprocessorMicroprocessors,300
Intel,,"USA , OR, Hillsboro",D1C,10 nanometer10 / 14 nanometer14 / 22,,2001,Microprocessors,300
Intel,,"USA , OR, Hillsboro",D1D,7 nanometer7 / 10 nanometer10 / 14 nanometer14,,2003,Microprocessors,300
Intel,,"USA , OR, Hillsboro",D1X,7 nanometer7 / 10 nanometer10 / 14 nanometer14,,2013,Microprocessors,300
Intel,,"USA , AZ, Chandler",Fab 12,14 nanometer14 / 22 nanometer22 / 65 nanometer65,,1996,Microprocessors & Chipsetchipsets,300
Intel,3,"USA , AZ, Chandler",Fab 32,45 nanometer45,,2007,,300
Intel,,"USA , AZ, Chandler",Fab 32,22 nanometer22 / 32 nanometer32,,2007,Microprocessors,300
Intel,10,"USA , AZ, Chandler",Fab 42,7 nanometer7 / 10 nanometer10,,2020,Microprocessors,300
Intel,20,"USA , AZ, Chandler","2, unknown",,,2024,Microprocessors,
Intel,,"USA , NM, Rio&nbsp;Rancho",Fab 11x,32 nanometer32 / 45 nanometer45,,2002,Microprocessors,300
Intel,,"Israel , Kiryat Gat",Fab 18,45 nanometer45 / 65 nanometer65 / 90 / 180,,1996,"Microprocessors and chipsets,","200, 300"
Intel,,"Ireland , Leixlip",Fab 10,,,1994,,200
Intel,,"Ireland , Leixlip",Fab 14,,,1998,,200
Intel,,"Ireland , Leixlip",Fab 24,14 nanometer14 / 65 nanometer65 / 90 nanometer90,,2004,"Microprocessors, Chipsets and Comms",300
Intel,,"Israel , Kiryat&nbsp;Gat",Fab 28,10 nanometer10 / 22 nanometer22 / 45 nanometer45,,2008,Microprocessors,300
Intel,2.5,"China , Dalian",Fab 68,65,"30,000–52,000",2010,"Microprocessors (former), VNAND",300
Intel,,"Costa Rica  , Heredia, Belén",,14 nanometer14 / 22 nanometer22,,1997,Packaging,300
General Motors Components Holdings,,"USA , IN, Kokomo",Fab III,500+ nanometer500+,,,,125/200
RaytheonRaytheon Systems Ltd,,"UK , Glenrothes, Scotland",,,,1960,"CMOS-on-SiC, foundry",100
BAE Systems,,"USA , NH, Nashua",,"140, 100, 70, 50",,1985,"MMIC, Gallium arsenideGaAs, GaN-on-SiC, foundry","100, 150"
Flir Systems,,"USA , CA, Santa Barbara",,,,,"InfraredIR Detectors, Thermal Imaging Sensors",150
Qorvo (formerly RF Micro Devices),,"USA , NC, Greensboro",,500,"8,000",,"Filter (signal processing)#SAW filtersSAW filters, Gallium arsenideGaAs Heterojunction bipolar transistorHBT, , Gallium nitrideGaN","100,150"
