company,plant_cost_us_billions,plant_location,plant_name,process_technology,production_capacity,started_production,technology_products,wafer_size
Skyworks Solutions (formerly Alpha Industries),,"USA, MA, Woburn",,,,,"RF/Cellular networkcellular components (SiGe, GaAs)","100, 150"
Skyworks Solutions,,"Japan, Osaka",,,,,"SAW, TC-SAW Filters",
Skyworks Solutions,,"Japan, Kadoma",,,,,"SAW, TC-SAW Filters",
Skyworks Solutions,,"Singapore, Bedok South Road",,,,,"SAW, TC-SAW Filters",
Win Semiconductor,,"Taiwan , Taoyuan City",Fab A,2000–10,,,"Foundry, Gallium arsenideGaAs",150
Win Semiconductor,,"Taiwan , Taoyuan City",Fab B,2000–10,,,"Foundry, Gallium arsenideGaAs, Gallium nitrideGaN",150
Win Semiconductor,"0.050, 0.178","Taiwan , Taoyuan",Fab C,,,"2000, 2009","Foundry, Gallium arsenideGaAs",150
ON Semiconductor,,"Malaysia , Seremban",ISMF,350 nanometer350,"80,000",,Discrete,150
ON Semiconductor,,"USA, OR, Gresham",Gresham,110 nanometer110,,,,200
ON Semiconductor,,"Czech Republic, Roznov",Roznov,500 um5000,,,,150
ON Semiconductor (formerly AMI Semiconductor),,"USA , ID, Pocatello",Pocatello,350 nanometer350,,,,200
ON Semiconductor (formerly AMI Semiconductor) (formerly Alcatel Microelectronics),,"Belgium, Oudenaarde",Oudenaarde,350 nanometer350,"4,000",,,150
ON Semiconductor,,"Japan, Niigata",Niigata,350 nanometer350,,,,"130, 150"
ON Semiconductor (formerly Fairchild Semiconductor) (formerly National Semiconductor) (formerly Fairchild Semiconductor),,"USA , PA, Mountain Top",,350 nanometer350,,1960/1997,,200
ON Semiconductor (formerly Fairchild Semiconductor) (formerly National Semiconductor) (formerly Fairchild Semiconductor),,"USA , ME, South Portland",,350 nanometer350,,1960/1997,,200
ON Semiconductor,,"Japan, Fukushima, 3 Kogyo Danchi, Monden-machi, Aizuwakamatsu-shi, 965-8502",Aizu Wakamatsu Plant,,,1970,"Memory, Logic","150, 200"
ams AGams,,"Austria, Unterpremstaetten",FAB B,350,,,,200
Osram (Osram Opto Semiconductors),"0.350, 1.18","Malaysia , Kulim, Kulim Hi-Tech Park",,,,"2017, 2020 (second phase, planned)",LEDs,150
Osram (Osram Opto Semiconductors),,"Malaysia , Penang",,,,2009,LEDs,100
Osram (Osram Opto Semiconductors),,"Germany , Regensburg",,,,"2003, 2005 (second phase)",LEDs,
Winbond,,"Taiwan , Taichung",Memory Product Foundry,46,,,,300
Winbond,,"Taiwan, No. 8, Keya 1st Rd.,Daya Dist.,Central Taiwan Science Park, Taichung City 42881",CTSP Site,,,,,300
Winbond,,,,,,Planned,,300
Vanguard International Semiconductor CorporationVanguard International Semiconductor,0.997,"Taiwan , Hsinchu",Fab 1,,"55,000",1994,Foundry,200
Vanguard International Semiconductor CorporationVanguard International Semiconductor,0.965,"Taiwan , Hsinchu",Fab 2 (formerly Fab 4&5),,"55,000",1998,Foundry,200
Vanguard International Semiconductor Corporation (formerly GlobalFoundries),1.3,Singapore,Fab 3E,180 nanometer180,"34,000",,Foundry,200
TSMC,0.735,"Taiwan , Hsinchu",Fab 2,,"88,000",1990,Foundry,150
TSMC,2,"Taiwan , Hsinchu",Fab 3,,"100,000",1995,Foundry,200
TSMC,1.4,"Taiwan , Hsinchu",Fab 5,,"48,000",1997,Foundry,200
TSMC,2.1,"Taiwan , Tainan",Fab 6,180–?,"99,000","2000, January; 2001",Foundry,"200, 300"
TSMC  (formerly Acer Inc.Acer Semiconductor Manufacturing Inc.) (formerly Texas Instruments),,Taiwan,Fab 7,"350, 250, 220, 180","33,000",,"Foundry (current) DRAM (former), Logic (former)",200
TSMC,1.6,"Taiwan , Hsinchu",Fab 8,"250, 180","85,000",1998,Foundry,200
TSMC,,,,"250, 150","30,000",2000,Foundry,200
TSMC,1.3,"China , Shanghai",Fab 10,,"74,000",2004,Foundry,200
TSMC WaferTech,1.2,"USA , WA, Camas",Fab 11,"350, 250, 180, 160","33,000",1998,Foundry,200
TSMC,"5.2, 21.6 (total, all phases combined)","Taiwan , Hsinchu",Fab 12,150–28 nanometer28,"77,500–123,800 (all phases combined)",2001,Foundry,300
TSMC,,"Taiwan , Hsinchu",Fab 12A,,"25,000",,Foundry,300
TSMC,,"Taiwan , Hsinchu",Fab 12B,,"25,000",,Foundry,300
TSMC,6,"Taiwan , Hsinchu",Fab 12 (P4),20 nanometer20,"40,000",2009,Foundry,300
TSMC,3.6,"Taiwan , Hsinchu",Fab 12 (P5),20 nanometer20,"6,800",2011,Foundry,300
TSMC,4.2,"Taiwan , Hsinchu",Fab 12 (P6),16 nanometer16,"25,000",2013,Foundry,300
TSMC,,"Taiwan , Hsinchu",Fab 12 (P7),16 nanometer16,,,Foundry,300
TSMC,5.1,"Taiwan , Chunan",Fab 12 (P8),,,2017,Foundry,450
TSMC,5.1,"Taiwan , Tainan",Fab 14,20 nanometer20,"82,500","2002,",Foundry,300
TSMC,,"Taiwan , Tainan",Fab 14 (B),16 nanometer16,"50,000+",,Foundry,300
TSMC,3.1,"Taiwan , Tainan",Fab 14 (P3),16 nanometer16,"55,000",2008,Foundry,300
TSMC,3.750,"Taiwan , Tainan",Fab 14 (P4),16 nanometer16,"45,500",2011,Foundry,300
TSMC,3.650,"Taiwan , Tainan",Fab 14 (P5),16 nanometer16,,2013,Foundry,300
TSMC,4.850,"Taiwan , Tainan",Fab 14 (P7),16 nanometer16,,2015,Foundry,300
TSMC,4.2,"Taiwan , Tainan",Fab 14 (P6),16 nanometer16,,2014,Foundry,300
TSMC,9.3,"Taiwan , Taichung",Fab 15,20 nanometer20,"100,000+(166,000 estimate)",2011,Foundry,300
TSMC,,"Taiwan , Taichung",Fab 15 (B),,,,Foundry,300
TSMC,3.125,"Taiwan , Taichung",Fab 15 (P1),,"4,000",2011,Foundry,300
TSMC,3.150,"Taiwan , Taichung",Fab 15 (P2),,,2012,Foundry,300
TSMC,3.750,"Taiwan , Taichung",Fab 15 (P3),,,2013,Foundry,300
TSMC,3.800,"Taiwan , Taichung",Fab 15 (P4),,,2014,Foundry,300
TSMC,9.020,"Taiwan , Taichung",Fab 15 (P5),,"35,000",2016,Foundry,300
TSMC,17.08,"Taiwan , Southern Taiwan Science Park",Fab 18,5,"120,000","2020 (planned), under construction",Foundry,300
TSMC,,"China , Nanjing",NJ Fab 16,,"20,000",2018,Foundry,300
TSMC,20 (expected),"Taiwan , Tainan Science Park",,3,,,Foundry,
TSMC,20,,,3,,2022 (planned),Foundry,
TSMC,15,"USA , AZ, Phoenix",,5,"20,000",2024 (planned),Foundry,
Epistar,,"Taiwan , Longtan Science Park",Fab F1,,,,Light-emitting diodeLEDs,
Epistar,,"Taiwan , Hsinchu Science Park",Fab A1,,,,LEDs,
Epistar,,"Taiwan , Hsinchu Science Park",Fab N2,,,,LEDs,
Epistar,,"Taiwan , Hsinchu Science Park",Fab N8,,,,LEDs,
Epistar,,"Taiwan , Hsinchu Science Park",Fab N1,,,,LEDs,
Epistar,,"Taiwan , Hsinchu Science Park",Fab N3,,,,LEDs,
Epistar,,"Taiwan , Chunan Science Park",Fab N6,,,,LEDs,
Epistar,,"Taiwan , Chunan Science Park",Fab N9,,,,LEDs,
Epistar,,"Taiwan , Central Taiwan Science Park",Fab H1,,,,LEDs,
Epistar,,"Taiwan , Tainan Science Park",Fab S1,,,,LEDs,
Epistar,,"Taiwan , Tainan Science Park",Fab S3,,,,LEDs,
Epistar,0.080,"Taiwan , Hsin-Chu Science Park",,,,"2011, second half",LEDs,
http://www.lextar.com/?sn=245&lang=en-US Lextar,,"Taiwan , Hsinchu Science Park",T01,,,,LEDs,
GCS,,"USA , CA, Torrance",,,"6,400",1999,"Foundry, Gallium arsenideGaAs, Indium gallium arsenideInGaAs, Indium gallium phosphideInGaP, Indium phosphideInP, Heterojunction bipolar transistorHBT, Photonic integrated circuitPICs",100
Robert Bosch GmbHBosch,,"Germany , Reutlingen",,,,1995,"Application-specific integrated circuitASIC, analog, power, Silicon_carbideSiC",150
Robert Bosch GmbHBosch,1.0,"Germany , Dresden",,65,,under construction,,300
Robert Bosch GmbHBosch,0.708,"Germany , Reutlingen",WaferFab,,"30,000",2010,"ASIC, analog, power, MEMS",200
STMicroelectronics,,"Singapore , Ang Mo Kio","AMK8 (second, newer fab)",,,1995,,200
STMicroelectronics (formerly SGS Microelettronica),,"Singapore , Ang Mo Kio",AMJ9 (first fab),,"6” 14 kpcs/day, 8” 1.4 kpcs/day",1984,Power-MOS/ IGBT/ bipolar/ CMOS,"150, 200"
STMicroelectronics,,"France , Crolles",Crolles 1 / Crolles 200,,"25,000",1993,,200
STMicroelectronics,,"France , Crolles",Crolles2 / Crolles 300,"90 nanometer90, 65 nanometer65, 45 nanometer45, 32 nanometer32, 28 nanometer28","20,000",2003,FDSOI,300
STMicroelectronics,,"France , Tours",Tours,500,"8"": 9kpcs/W; 12"" 400–1000/W",,ASIC,200
STMicroelectronics,,"Italy , Agrate BrianzaAgrate&nbsp;Brianza",R2 (upgraded in 2001 from R1),,,1963,,200
STMicroelectronics,,"Italy , Agrate BrianzaAgrate&nbsp;Brianza",AG8/AGM,,,1963,,200
STMicroelectronics,,"Italy , Catania",Catania,,,1997,Gallium nitrideGaN,"150 (Gallium nitrideGaN), 200"
STMicroelectronics,,"France , Rousset, Bouches-du-RhôneRousset",Rousset,,,2000,,200
X-Fab,,"Germany , Erfurt",Erfurt,600–1000,11200–,1985,Foundry,200
X-Fab,0.095,"Germany , Dresden",Dresden,350–1000,6000–,1985,"Foundry, CMOS, GaN-on-Si",200
X-Fab,,"Germany , Itzehoe",Itzehoe,,13000–,,"Foundry, MEMS",200
X-Fab,1.89,"Malaysia , Kuching",Kuching,130–350,"30,000–",2000,Foundry,200
X-Fab (formerly Texas Instruments),0.197,"USA , TX, Lubbock",Lubbock,600–1000,15000–,1977,"Foundry, SiC","150, 200"
X-Fab X-Fab France SAS (formerly Altis Semiconductor),,"France , Corbeil-Essonnes",ACL-AMF,130–350,,"1991, 1964","Foundry, CMOS,",200
CEITEC,,"Brazil , Porto Alegre",,600–1000,,2010,RFID,200
IXYS CorporationIXYS,,Germany,,,,,IGBT,
IXYS CorporationIXYS,,UK,,,,,,
IXYS CorporationIXYS,,"USA , MA",,,,,,
IXYS CorporationIXYS,,"USA , CA",,,,,,
Samsung,6,"South Korea , Hwaseong",V1-Line,7 nm process7,,"2020, February 20","Microprocessors, Foundry",300
Samsung,"10.2, 16.2 (planned)","South Korea , Hwaseong",S3-Line,10 nanometer10,"200,000",,"DRAM, VNAND, Foundry",300
Samsung,16,"USA , TX, Austin",S2-Line,65 nanometer65–14 nanometer11,"92,000",2011,"Microprocessors, FDSOI, Foundry, NAND",300
Samsung,33 (total),"South Korea , Giheung",S1-Line,65 nanometer65–7 nm process7,"62,000","2005 (second phase), 1983 (first phase)","Microprocessors, S.LSI, LEDs, FDSOI, Foundry",300
Samsung,"14.7, 27 (total)","South Korea , Pyeongtaek",Pyeongtaek,14 nanometer14,"450,000","2017, July 6","V-NAND, DRAM, Foundry",300
Samsung,,"South Korea , Giheung",6 Line,180 nanometer180–65 nanometer65,,,Foundry,200
Samsung,,"China, Shaanxi Province",Samsung China Semiconductor,,,,DDR Memory,
Samsung,,"China , Suzhou, Suzhou Industrial Park",Samsung Suzhou Research Center (SSCR),,,,DDR SDRAMDDR Memory,
Samsung,,"South Korea , Chungcheongnam-do",Onyang Complex,,,,display.backend process.test,
Samsung,2.3,"China , Xian",F1x1,20 nanometer20,"100,000","2014 (first phase, second phase is under review)",VNAND,300
Samsung,,"South Korea , Gyeonggi-do, Yongin",Giheung Campus,,,,LEDs,
Samsung,,"South Korea , Gyeonggi-do, Hwaseong",Hwasung Campus,,,,LEDs,
Samsung,,"China , Tianjin, Xiqing, Micro-Electronic Industrial Park, Weisi Road","Tianjin Samsung LED Co., Ltd.",,,,LEDs,
Seagate TechnologySeagate,,"USA , MN",,,,,,
Seagate TechnologySeagate,,Northern Ireland,,,,,,
Broadcom Limited,,"USA , CO, Fort Collins",,,,,,
Cree Inc.,,"USA , NC, Durham",Durham,,,,"Compound Semiconductors, LEDs",
Cree Inc.,,"USA, NC",Research Triangle Park,,,,Gallium nitrideGaN HEMT RF ICs,
https://www.smartm.com SMART Modular Technologies,,"Brazil , Atibaia",,,,2006,Packaging,
NEWPORT WAFER FAB (formerly Infineon Technologies),,"UK , Wales, Newport",FAB11,180–700,"32,000",,"Foundry, Compound Semiconductors, IC, MOSFET, IGBT",200
Changxin Memory Technologies,7.2,China,,"19, 17","125,000",2019,DRAM,300
Infineon Technologies,,"Austria, Villach",Villach,,,1970,"MEMS, SiC, Gallium nitrideGaN",100/150/200/300
Infineon Technologies,3,"Germany , Dresden",Dresden,90 nanometer90,,1994/2011,,200/300
Infineon Technologies,,"Malaysia , Kulim",Kulim,,"50,000",2006,,200/300
Infineon Technologies,,"Malaysia , Kulim",Kulim 2,,"50,000",2015,,200/300
Infineon Technologies,,"Germany , Regensburg",Regensburg,,,1959,,
Infineon Technologies,,"Hungary, Cegled",Cegled,,,,,
Infineon Technologies,,"South Korea , Cheonan-si",Cheonan,,,,,
Infineon Technologies,,"USA , CA, El Segundo",El Segundo,,,,,
Infineon Technologies,,"Indonesia, Batam",Batam,,,,,
Infineon Technologies,,USA,Leominster,,,,,
Infineon Technologies,,Malaysia,Malacca,,,,,
Infineon Technologies,,USA,Mesa,,,,,
Infineon Technologies,,USA,Morgan Hill,,,,,
Infineon Technologies,,USA,Morrisville,,,,,
Infineon Technologies,,Germany,Neubiberg,,,,,
Infineon Technologies,,USA,San Jose,,,,,
Infineon Technologies,,Singapore,Singapore,,,,,
Infineon Technologies,,USA,Temecula,,,,,
Infineon Technologies,,Mexico,Tijuana,,,,,
Infineon Technologies,,Germany,Warstein,,,,,
Infineon Technologies,,China,Wuxi,,,,,
Infineon Technologies - Cypress Semiconductor,,"USA, TX, Austin",Fab25,,,1994,Flash / Logic,200
SkyWater Technology (formerly Cypress Semiconductor) (formerly Control Data CorporationControl Data) (formerly VTC),,"USA, MN, Bloomington",Minnesota fab,"65 nanometer65, 90 nanometer90, 130 nanometer130, 180 nanometer180, 250 nanometer250, 350 nanometer350",,1991,"Foundry, SOI, FDSOI, MEMS, Silicon photonicsSiPh, Carbon nanotubeCNT, 3D packaging, superconducting ICs",200
D-Wave Systems,,,Superconducting Foundry,,,,Quantum computingQuantum Processing Units (QPUs),
GlobalFoundries,3.6,"Germany , Dresden",Fab 1 Module 1,22 nanometer22–45 nanometer45,"35,000",2005,"Foundry, SOI, FDSOI",300
GlobalFoundries,4.9,"Germany , Dresden",Fab 1 Module 2,22 nanometer22–45 nanometer45,"25,000",1999,"Foundry, SOI",300
GlobalFoundries,2.3,"Germany , Dresden",Fab 1 Module 3,22 nanometer22–45 nanometer45,"6,000",2011,"Foundry, SOI",300
GlobalFoundries,1.3,Singapore,Fab 2,350 nanometer350–600,"56,000",1995,"Foundry, SOI",200
GlobalFoundries,"0.915, 1.2",Singapore,Fab 3/5,180 nanometer180–350,"54,000","1997, 1995","Foundry, SOI",200
GlobalFoundries,1.4,Singapore,Fab 6 (merged into Fab 7),110 nanometer110–180,"45,000",2000,"Foundry, SOI","200,"
GlobalFoundries,4.6,Singapore,Fab 7,"40 nanometer40, 65 nanometer65, 90 nanometer90, 110 nanometer110, 130 nanometer130","50,000",2005,"Foundry,",300
GlobalFoundries,"4.6, 2.1,","USA , NY, Malta",Fab 8,12 nanometer12 / 14 nanometer14 / 22 nanometer22 / 28 nanometer28,"60,000","2012, 2014","Foundry, High-κ dielectricHigh-K Metal Gate,",300
GlobalFoundries,1.5,"USA , NY, Malta",Technology Development Center,,,2014,,
GlobalFoundries,,"USA , VT, Essex Junction",Fab 9,90–350,"40,000",,"Foundry, SiGe,",200
(future ON Semiconductor) GlobalFoundries,"2.5,","USA , NY, East Fishkill, New YorkEast&nbsp;Fishkill",Fab 10,"90 nanometer90–22 nanometer22, 14 nanometer14","12,000-15,000",2002,"Foundry, , SiGe, Silicon photonicsSiPh",300
SUNY Poly CNSE,".175, .050","USA , NY, Albany",NanoFab 300 North,"65 nanometer65, 45 nanometer45, 32 nanometer32, 22 nanometer22",,"2004, 2005",,300
SUNY Poly CNSE,.016,"USA , NY, Albany",NanoFab 200,,,1997,,200
SUNY Poly CNSE,.150,"USA , NY, Albany",NanoFab Central,22 nanometer22,,2009,,300
Skorpios Technologies,0.065,"USA , TX, Austin",,,"10,000",1989,"MEMS, photonics, foundry",200
Opto Diode,,"USA , CA, Camarillo",,,,,,
Optek Technology,,,,,,1968,"Gallium arsenideGaAs, LEDs","100, 150"
II-VI IncorporatedII-VI,,,,,,,"Semiconductor Lasers, PhotodiodePhotodiodes",
Infinera,,"USA , CA",,,,,,
Rogue Valley Microdevices,,"USA , OR, Medford",,,,2003,MEMS foundry,150
IMT,,"USA, CA, Goleta",Fab 1,350 nm process350,"20,000",2000,"Foundry: MEMS, Photonics, Sensors, Biochips","150, 200"
Sensera,,"USA, MA, Woburn",uDev-1,700,"1,000",2014,"MEMS, MicroDevice assembly",150
Rigetti Computing,,"USA , CA, Fremont",Fab-1,,,,Quantum_computingQuantum Processors,130
NHanced Semiconductors,,"USA, NC, Morrisville",MNC,>=500,1000,2001,"MEMS, Silicon Sensors, BEoL, 2.5/3D and advanced packaging","100, 150, 200"
http://polarsemiconductor.com/  Polar Semiconductor,,"USA , MN, Bloomington","FAB 1,2,3",,,,"BCD, HV, GMR",200
http://www.noeltech.com/ Noel Technologies,,,,500–250,,,,450–51
Orbit Semiconductor,,,,,,,"CCD, CMOS",100
Entrepix,,"USA , AZ, Tempe",,,,2003,,
Medtronic,,"USA , AZ, Tempe",,,,1973,,
Technologies and Devices International,,"USA , FL, Silver Springs",,,,2002,,
Soraa Inc,,"USA , CA",,,,,,
Soraa Laser Diode,,,,,,,,
Mirrorcle Technologies,,"USA , CA",,,,,,
Teledyne DALSA,,"Canada, Bromont, QC",Teledyne DALSA Semiconductor,,,1980,"HV ASICs, HV CMOS, MEMS, CCD",150/200
https://www.htmicron.com.br HT Micron,,"Brazil , São Leopoldo",,,,2014,"DRAM, eMCP, iMCP",
https://www.facebook.com/unitecsemicondutores Unitec do Brasil,,"Brazil , Ribeirão Neves",,,,Planned,,
Unitec Blue,0.3,"Argentina, Chascomús",,,,2013,"RFID, SIM cardSIM, EMV",
https://everlightamericas.com/content/4/Corporate-Profile Everlight,,"Taiwan , Miao-Li",Yuan-Li Plant,,,,LEDs,
https://everlightamericas.com/content/4/Corporate-Profile Everlight,,China,Pan-Yu Plant,,,,LEDs,
https://everlightamericas.com/content/4/Corporate-Profile Everlight,,"Taiwan , Taipei Country",Tu-Cheng Plant,,,,LEDs,
Optotech,,"Taiwan , Hsinchu",,,,,LEDs,
Arima Optoelectronics,,"Taiwan , Hsinchu",,,,1999,,
Episil Semiconductor,,"Taiwan , Hsinchu",,,,"1992, 1990, 1988",,
Episil Semiconductor,,"Taiwan , Hsinchu",,,,"1992, 1990, 1988",,
http://www.csi-sensor.com.tw/eng/default.htm Creative Sensor Inc.,,"China , Jiangxi",NanChang Creative Sensor,,,2007,Image sensorImage Sensors,
http://www.csi-sensor.com.tw/eng/default.htm Creative Sensor Inc.,,"China , JiangSu",Wuxi Creative Sensor,,,2002,,
http://www.csi-sensor.com.tw/eng/default.htm Creative Sensor Inc.,,"Taiwan, Taipei City",Wuxi Creative Sensor,,,1998,,
https://web.archive.org/web/20141230041827/http://www.viseratech.com/index.html Visera Technologies,,"Taiwan , Hsinchu Science-based Industrial Park",Headquarters Phase I,,,"2007, September",CMOS Image Sensors,
Panjit,0.1,"Taiwan , Kaohsiung",,,,2003,,
ProMOS,1.6,"Taiwan , Taichung",Fab 4,70,,,,300
Macronix,,,Fab 5,,"50,000",,,300
Macronix,,,Fab 2,,"48,000",,,200
Macronix,,,Fab 1,,"40,000",,,150
Nanosystem Fabrication Facility,,Hong Kong,,,,,,
ASMC,,"China , Shanghai",FAB 1/2,600,"78,000","1992, 1997","BCD, HV",200
ASMC,,"China , Shanghai",FAB 3,250,"12,000",2004,,200
Beilling,,"China , Shanghai",,1200,,,"BiCMOS, CMOS",150
http://www.sisemi.com.cn SiSemi,,"China , Shenzhen, Longgang High-tech Industrial Park",,,,2004,"Power semiconductors, LED drivers,",130
http://www.sisemi.com.cn SiSemi,,,,,,1997,Transistors,100
http://www.csmc.com.cn/home.aspx CRMicro,,,Fab 1,,"60,000",1998,"HV Analog, MEMS, Power, Analog, Foundry",150
http://www.csmc.com.cn/home.aspx CRMicro,,"China , Wuxi",Fab 2,"180, 130","40,000",2008,"HV Analog, Foundry",200
http://www.csmc.com.cn/home.aspx CRMicro,,,Fab 3,130,"20,000",1995,,200
http://www.csmc.com.cn/home.aspx CRMicro,,,Fab 5,,"30,000",2005,,
"https://web.archive.org/web/20170914034500/http://www.hlmc.cn/en/Default.aspx Huali (Shanghai Huali Microelectronics Corp, HLMC)",,"China , Shanghai",F1,"193, 55, 40, 28","35,000",,Foundry,300
https://web.archive.org/web/20170914034500/http://www.hlmc.cn/en/Default.aspx Huali,,"China , Shanghai",F2,,"40,000",,,300
Nexchip,,"China , Hefei",N1,,"40,000",,Display Drivers IC,300
Nexchip,,"China , Hefei",N2,,"40,000",,,300
Nexchip,,"China , Hefei",N3,,"40,000",,,300
Nexchip,,"China , Hefei",N4,,"40,000",,,300
Wandai,,"China , Chongqing",CQ,,"20,000",,,300
http://www.sanan-e.com/en/about.html San'an Optoelectronics,,"China , Tianjin","Tianjin San’an Optoelectronics Co., Ltd.",,,,LEDs,
http://www.sanan-e.com/en/about.html San'an Optoelectronics,,China,"Xiamen San’an Optoelectronics Technology Co., Ltd.",,,,LEDs,
http://www.sanan-e.com/en/about.html San'an Optoelectronics,,China,Xiamen San’an Integrated Circuit,,,,ICs,
http://www.sanan-e.com/en/about.html San'an Optoelectronics,,China,"Xiamen San’an Optoelectronics Co., Ltd.",,,,LEDs,
http://www.sanan-e.com/en/about.html San'an Optoelectronics,,China,"Fujian Jing’an Optoelectronics Co., Ltd.",,,,LEDs,
http://www.sanan-e.com/en/about.html San'an Optoelectronics,,China,"Wuhu Anrui Optoelectronics Co., Ltd.",,,,LEDs,
http://www.sanan-e.com/en/about.html San'an Optoelectronics,,China,"Anrui San'an Optoelectronics Co., Ltd.",,,,LEDs,
http://www.sanan-e.com/en/about.html San'an Optoelectronics,,China,"Anrui San'an Technology Co., Ltd.",,,,LEDs,
http://www.sanan-e.com/en/about.html San'an Optoelectronics,,USA,Luminus Summary,,,,LEDs,
San'an,,"China , Xiamen",,,,,"Foundry, Gallium nitrideGaN, Power, RF",
HuahongGrace,,"China , Shanghai",FAB,90,,,Foundry,300
"http://www.huahonggrace.com/html/business_over.php HuahongGrace (HHGrace, Huahong Grace, Shanghai Huahong Grace Semiconductor Manufacturing Corporation)",,"China , Zhangjiang",,1000–90,"53,000",,"Foundry, eNVM, RF, Mixed Signal, Logic,",200
http://www.huahonggrace.com/html/business_over.php HuahongGrace,,"China ,  Jinqiao",,1000–90,"53,000",,"Foundry, eNVM, RF, Mixed Signal, Logic,",200
http://www.huahonggrace.com/html/business_over.php HuahongGrace,,"China ,  Shanghai",,1000–90,"53,000",,"Foundry, eNVM, RF, Mixed Signal, Logic,",200
HuaLei Optoelectronic,,China,,,,,LEDs,
Sino King Technology,,"China , Hefei",,,,2017,DRAM,
APT Electronics,,"China , Guangzhou",,,,2006,,
Aqualite,,"China , Guangzhou",,,,2006,,
Aqualite,,"China , Wuhan",,,,2008,,
Xiamen Jaysun Semiconductor Manufacturing,0.035,"China , Xiamen",Fab 101,,,2011,,
Xiyue Electronics Technology,0.096,"China , Xian",Fab 1,,,2007,,
https://hankingmems.com/ Hanking Electronics,,"China , Fushun",Fab 1,,"10,000 - 30,000",2018,"https://hankingmems.com/foundry-services/ MEMS Foundry, https://hankingmems.com/mems-design-services/ MEMS Design MEMS Sensors (Inertial, Pressure, Ultrasound, PiezoelectricityPiezoelectric, LidarLiDar, Bolometer ) IoT Motion Sensors",200
CanSemi,4,"China , Guangzhou",,180–130,,,Foundry,300
SensFab,,Singapore,,,,1995,,
MIMOSMIMOS Semiconductor,"0.006, 0.135","Malaysia , Kuala Lumpur",,,,"1997, 2002",,
Silterra Malaysia,1.6,"Malaysia , Kedah, Kulim",Fab1,"250, 200, 180–90","46,000",2000,"CMOS, HV, MEMS, RF, Logic, Analog, Mix Signal",200
Pyongyang Semiconductor Factory,,"North Korea, Pyongyang",111 Factory,3000,,1980s,,
Kim Il-sung Fab,,"North Korea, Pyongyang",Il-sung,14/22,25000–55000,1965s,"OLEDOLEDs, Sensors, DRAM, SRAM, CMOS, Photodiodes, IGBT, MOSFET, MEMS",76
DongbuHiTek,,"South Korea , Bucheon",Fab 1,,,1997,Foundry,
DongbuHiTek,,"South Korea , Eumsung-Kun",Fab 2,,,2001,Foundry,
DongbuHiTek,,"South Korea , Eumsung-Kun",Fab 2 Module 2,,,,Foundry,
Kodenshi AUK Group,,,Silicon FAB Line,,,,,
Kodenshi AUK Group,,,Compound FAB Line,,,,,
Kyocera,,,,,,,SAW devices,
Seiko Instruments,,"China, Shanghai",,,,,,
Seiko Instruments,,"Japan, Akita",,,,,,
Seiko Instruments,,"Japan, Takatsuka",,,,,,
NIPPON PRECISION CIRCUITS,,,,,,,Digital electronicsDigital,
Seiko EpsonEpson,,"Japan, Sakata",T wing,150–350,"25,000",1997,,200
Seiko Epson  Epson,,"Japan, Sakata",S wing,350–1200,"20,000",1991,,150
Olympus Corporation,,"Japan, Nagano Prefecture",Nagano,,,,MEMS,
Olympus CorporationOlympus,,Japan,,,,,MEMS,
Shindengen Electric Manufacturing,,"Philippines, Laguna",,,,,,
Shindengen Electric Manufacturing,,"Thailand, Lumphun",,,,,,
NKK JFE Holdings,,,,,6000,,",",200
http://www.njr.com/ New Japan Radio,,"Japan , Saitama Prefecture, Fujimino City",Kawagoe Works,"4000, 400, 350",,1959,"Bipolar, Mixed Signal, Analog, Hi Speed BiCMOS, BCD, , SAW Filters","100, 150"
http://www.njr.com/ New Japan Radio,,"Japan , Saga Prefecture",http://www.sagaelec.co.jp/en Saga Electronics,"4000, 400, 350",,,"Foundry, Bipolar, Mixed Signal, Analog, , SAW Filters","100, 150"
http://www.njr.com/ New Japan Radio,,"Japan , Fukuoka Prefecture, Fukuoka City",http://www.njrf.co.jp/ NJR FUKUOKA,,,2003,"Bipolar, Analog ICs, MOSFETs LSI, BiCMOS ICs","100, 150"
http://www.njr.com/ New Japan Radio,,"Japan , Nagano, Nagano City",,,,,,
http://www.njr.com/ New Japan Radio,,"Japan , Nagano, Ueda City",,,,,,
Nichia,,"Japan , KANAGAWA",YOKOHAMA TECHNOLOGY CENTER,,,,LEDs,
Nichia,,"Japan , NAGANO",SUWA TECHNOLOGY CENTER,,,,LEDs,
"AKM Semiconductor, Inc.",,"Japan , Nobeoka",FAB1,,,,Sensors,
"AKM Semiconductor, Inc.",,"Japan , Nobeoka",FAB2,,,,,
"AKM Semiconductor, Inc.",,"Japan , Fuji",FAB3,,,,Sensors,
"AKM Semiconductor, Inc.",,"Japan , Hyuga",FAB FP,,,,,
"AKM Semiconductor, Inc.",,"Japan , Ishinomaki",FAB5,,,,LSI,
Taiyo Yuden,,"Japan , Nagano",,,,,SAW devices,
Taiyo Yuden,,"Japan , Ome",,,,,SAW devices,
NMB SEMICONDUCTOR,,,,,,,DRAM,
Elmos Semiconductor,,"Germany , Dortmund",,"800, 350",9000,1984,HV-CMOS,200
United Monolithic Semiconductors,,"Germany , Ulm",,"700, 250, 150, 100",,,"Foundry, Front end of lineFEOL, MMIC, , InGaP, Gallium nitrideGaN HEMT, MESFET, Schottky diode",100
